순위,채널명,태그,주간_신규구독자,전체구독자
150,DDongman,"#Minecraft, #Animation","17,000명(7.3%)
                ","
                234,000
              "
151,Devil Bona,,"17,000명(7.2%)
                ","
                237,000
              "
152,Conversational Korean,"#Korean, #lessons","17,000명(4%)
                ","
                427,000
              "
153,이지은 다이어트 Jiny diet,"#이지은다이어트, #홈트레이닝","17,000명(2.4%)
                ","
                694,000
              "
154,하하 PD HAHA PD,"#하하, #런닝맨","17,000명(2.3%)
                ","
                742,000
              "
155,서담SEODAM,"#CookingASMR, #homebaking","17,000명(2.1%)
                ","
                804,000
              "
156,에익쿠,,"16,800명(44.7%)
                ","
                37,600
              "
157,쿡언니네 cookunnyne,"#쿡언니네, #아내의식탁","16,500명(25.8%)
                ","
                63,900
              "
158,Pinay Mom in South Korea,"#pinaymom, #koreankids","16,100명(17.2%)
                ","
                93,800
              "
159,YTN 돌았저 - 돌발영상/ 알고리줌/ 뉴있저,"#뉴스, #YTN","16,000명(8.6%)
                ","
                186,000
              "
160,지편한세상 [Jeeseokjin World],"#런닝맨, #지편한세상","16,000명(3.9%)
                ","
                413,000
              "
161,도넘스_DONUMS,"#원피스, #롤","16,000명(3.6%)
                ","
                446,000
              "
162,달리 [SBS 교양 공식채널],"#꼬꼬무, #sbs스페셜","16,000명(3.4%)
                ","
                470,000
              "
163,자세요정 JSYJ,"#체형교정운동, #골반교정운동","16,000명(3.1%)
                ","
                511,000
              "
164,나징NAJING,"#Cafe, #카페","16,000명(2.5%)
                ","
                632,000
              "
165,황태와 양미리(빽사이코러스),"#사이코러스, #황태와양미리","15,900명(42.2%)
                ","
                37,700
              "
166,OMEGA X,"#omegax, #kpop","15,700명(14.8%)
                ","
                106,000
              "
167,김영환TV,"#김영환, #김영환TV","15,600명(58.6%)
                ","
                26,600
              "
168,장사의 신,"#자영업, #자영업자","15,300명(20.2%)
                ","
                75,700
              "
169,레베기의 이상한 아뜰리에 LEBEGI,"#가죽공예, #DIY","15,000명(8.1%)
                ","
                185,000
              "
170,문월 유튜브,"#문월, #아프리카TV","15,000명(7.3%)
                ","
                206,000
              "
171,한밤 HANBAM,"#K, #아이돌","15,000명(6.7%)
                ","
                224,000
              "
172,썬비키 ssunbiki,"#홈트, #비키니","15,000명(6.5%)
                ","
                231,000
              "
173,땡깡DanceKang,"#독학, #shorts","15,000명(4.9%)
                ","
                309,000
              "
174,요리용디 Yori Yongd,"#요리용디, #용디","15,000명(4.6%)
                ","
                324,000
              "
175,려욱이의 아지트,"#려욱, #슈퍼주니어","15,000명(4.4%)
                ","
                338,000
              "
176,리틀엔젤 인기동요 어린이노래 - Little Angel,"#동요, #리틀엔젤","15,000명(4.1%)
                ","
                370,000
              "
177,스토리,"#스토리, #유튜브","15,000명(2.4%)
                ","
                623,000
              "
178,함께해요 맛나요리,"#맛나요리, #함께해요","15,000명(2.4%)
                ","
                638,000
              "
179,MayTree,"#maytree, #acapella","15,000명(1.8%)
                ","
                852,000
              "
180,SOHN ASMR,"#mukbang, #asmr","14,700명(35.5%)
                ","
                41,400
              "
181,Funny Home,"#Funny, #Home","14,500명(21.1%)
                ","
                68,700
              "
182,부자아빠주식학교,"#주식투자, #재테크","14,000명(10.9%)
                ","
                128,000
              "
183,이오 IO,"#역사, #음식","14,000명(8.1%)
                ","
                172,000
              "
184,JUST B,"#저스트비, #JUST","14,000명(7.3%)
                ","
                192,000
              "
185,이지Leezy,"#이지, #piano","14,000명(2%)
                ","
                707,000
              "
186,planD플랜디,"#자취생브이로그, #집순이브이로그","14,000명(1.6%)
                ","
                860,000
              "
187,액션홍구,"#홍구, #가족","14,000명(1.5%)
                ","
                910,000
              "
188,코비 스튜디오,"#Minecraft, #Animation","13,600명(15.7%)
                ","
                86,600
              "
189,괴담실록 [조선·동아시아 야사·괴담],"#무서운이야기, #공포","13,000명(38.9%)
                ","
                33,400
              "
190,런던쌤,"#영어, #런던","13,000명(10.3%)
                ","
                126,000
              "
191,KBS 시사기획 창,,"13,000명(8.3%)
                ","
                156,000
              "
192,차차노트 ASMR,"#빈티지, #journal","13,000명(8.1%)
                ","
                161,000
              "
193,Jovelyn Park,"#Koreanfilipinorelationship, #Masbatevlogger","13,000명(7.9%)
                ","
                165,000
              "
194,치대남_치과의사 고광욱_Dentist,"#치대나온남자, #치대남","13,000명(7.3%)
                ","
                178,000
              "
195,오은영의 버킷리스트,,"13,000명(7%)
                ","
                186,000
              "
196,DDany Crafts 따니네 만들기,"#DIY, #만들기","13,000명(5.1%)
                ","
                257,000
              "
197,KIDS TOY LAND,"#토미카, #tomica","13,000명(4%)
                ","
                322,000
              "
198,시니어전성시대,"#시니어, #정보","13,000명(2.8%)
                ","
                464,000
              "
199,BODA 보다,"#REACT, #BODA","13,000명(2.7%)
                ","
                487,000
              "
200,GOIS,"#among, #Among","13,000명(2.4%)
                ","
                536,000
              "
201,ASMR Ouvir 오비르,"#asmr, #korean","13,000명(2%)
                ","
                666,000
              "
202,Hello Jadoo TV 안녕 자두야,"#Animation, #안녕자두야","13,000명(1.7%)
                ","
                778,000
              "
203,SK이노베이션 [SK innovation],"#SK이노베이션, #SK종합화학","12,700명(21.7%)
                ","
                58,400
              "
204,땅콩 Peanut,"#어몽어스, #어몽어스","12,601명(23.7%)
                ","
                53,200
              "
205,심리툰 Psych2Go Korea,"#심리, #자기계발","12,300명(32%)
                ","
                38,400
              "
206,윤석열입니다,"#윤석열, #윤석열입니다","12,300명(23.6%)
                ","
                52,100
              "
207,코삼부자 by 허웅 허훈 허재,"#허웅, #허훈","12,000명(8.6%)
                ","
                140,000
              "
208,재롱잔치,"#재롱이, #말티즈","12,000명(8.2%)
                ","
                146,000
              "
209,UNIVERSE_OFFICIAL,"#유니버스, #UNIVERSE","12,000명(6.3%)
                ","
                191,000
              "
210,범수의 세계,"#김범수, #보고싶다","12,000명(5.9%)
                ","
                203,000
              "
211,너 진짜 똑똑하다,"#북튜브, #책","12,000명(5.5%)
                ","
                218,000
              "
212,Joony art,"#painting, #아크릴화","12,000명(5.4%)
                ","
                222,000
              "
213,1분만,"#정보, #인스타","12,000명(3.8%)
                ","
                315,000
              "
214,발명! 쓰레기걸 Trash girl,"#발명쓰레기걸, #발명","12,000명(3.6%)
                ","
                334,000
              "
215,Netflix Korea 넷플릭스 코리아,"#넷플릭스, #netflix","12,000명(2.1%)
                ","
                572,000
              "
216,딩가의 회전목마 DINGA,"#딩가, #딩가의회전목마","12,000명(2.1%)
                ","
                584,000
              "
217,집밥요리 Home Cooking,"#간단요리, #집밥","12,000명(2%)
                ","
                611,000
              "
218,Magnet Art,"#magnet, #네오큐브","12,000명(1.9%)
                ","
                637,000
              "
219,리춘수 [이천수],"#이천수, #리춘수","11,800명(21.9%)
                ","
                53,800
              "
220,따뜻한 주방Warm Kitchen,"#도시락반찬, #집밥","11,000명(8.5%)
                ","
                130,000
              "
221,곽튜브KWAKTUBE,"#에티오피아, #에티오피아","11,000명(7.6%)
                ","
                145,000
              "
222,매부리TV,"#매일경제, #부동산","11,000명(7.2%)
                ","
                152,000
              "
223,휴먼스토리,"#휴먼스토리, #창업","11,000명(5.8%)
                ","
                189,000
              "
224,루키밍 ROOKIE SLIME,"#slime, #슬라임","11,000명(4.7%)
                ","
                235,000
              "
225,쥬네일JOUNAIL,"#asmr, #셀프네일","11,000명(3.9%)
                ","
                285,000
              "
226,DATA LIVE,"#chart, #조회수","11,000명(3.5%)
                ","
                315,000
              "
227,자이TV Made in Xi,"#자이, #GS건설","11,000명(3%)
                ","
                369,000
              "
228,코미꼬,"#코미꼬, #김병선","11,000명(2.7%)
                ","
                413,000
              "
229,재민TV,"#재민tv, #팩토리","11,000명(2.3%)
                ","
                484,000
              "
230,주태백이TV,"#디스코팡팡, #놀이공원","11,000명(2.1%)
                ","
                513,000
              "
231,하알라,"#하알라, #가족시트콤","11,000명(2%)
                ","
                546,000
              "
232,나르앤나르시Nar.Couple,"#커플유튜브, #나르앤나르시","11,000명(2%)
                ","
                555,000
              "
233,랄랄ralral,"#비제이랄랄, #랄랄","11,000명(1.7%)
                ","
                658,000
              "
234,Bus and Train,"#장난감, #꼬마버스","11,000명(1.5%)
                ","
                718,000
              "
235,Aaron and Claire,"#recipe, #recipes","11,000명(1.5%)
                ","
                743,000
              "
236,사피엔스 스튜디오,"#교양, #교육","11,000명(1.4%)
                ","
                789,000
              "
237,MBN News,"#MBN, #NEWS","11,000명(1.4%)
                ","
                806,000
              "
238,하미마미 Hamimommy,"#hamimommy, #하미마미","11,000명(1.4%)
                ","
                813,000
              "
239,핏블리 FITVELY,"#다이어트, #식단","11,000명(1.3%)
                ","
                848,000
              "
240,준오브다샤,"#couple, #국제커플","11,000명(1.3%)
                ","
                869,000
              "
241,알콩서준달콩하린,"#알콩서준, #장난감","11,000명(1.1%)
                ","
                1,000,000
              "
242,한국 완두콩,"#funny, #animation","10,900명(49.3%)
                ","
                22,100
              "
243,YE WON예원,"#제로투댄스, #04년생","10,900명(18.7%)
                ","
                58,300
              "
244,몽라의예쁜옷만들기 - DIY designer,"#패턴없이옷만들기, #몽라의옷만들기","10,700명(11.2%)
                ","
                95,500
              "
245,실패자,"#실패자, #리그오브레전드","10,600명(24.5%)
                ","
                43,300
              "
246,CukiNCrim,"#Minecraft, #Noteblock","10,520명(74.1%)
                ","
                14,200
              "
247,DS Gameplay,"#Gameplay, #Going","10,200명(16.7%)
                ","
                61,000
              "
248,고성균의 장군! 멍군!,,"10,000명(66.2%)
                ","
                15,100
              "
249,GoGo Slime,"#Slime, #ASMR","10,000명(33.1%)
                ","
                30,200
              "
250,SandLand 샌드랜드,"#sand, #ASMR","10,000명(6.9%)
                ","
                144,000
              "
251,DalDalYoungsimi 달달영심이,"#Mukbang, #달달영심이","10,000명(6.5%)
                ","
                153,000
              "
252,Little Hero Super Z - Official Channel,"#Little, #Hero","10,000명(5.9%)
                ","
                170,000
              "
253,안정환 19,"#안정환, #월드컵","10,000명(5.7%)
                ","
                176,000
              "
254,힐링앤뮤직 Healing and Music,"#스트레스해소음악, #힐링음악","10,000명(5.6%)
                ","
                179,000
              "
255,Mmmmonexx,"#art, #스케치","10,000명(5.4%)
                ","
                184,000
              "
256,김지윤의 지식Play,"#역사, #국제정치","10,000명(5.3%)
                ","
                188,000
              "
257,EPEX,"#위시, #금동현","10,000명(4.5%)
                ","
                220,000
              "
258,뜨랑낄로 Trankilo,"#세계여행, #배낭여행","10,000명(3.6%)
                ","
                275,000
              "
259,따듯한 목소리 현준,"#책읽어주는남자, #오디오북","10,000명(2.8%)
                ","
                353,000
              "
260,PAKA,"#파카, #paka","10,000명(2.8%)
                ","
                359,000
              "
261,KBS 골든케이팝,"#트로트, #음악","10,000명(2.4%)
                ","
                418,000
              "
262,이과장,"#좋좋소, #이과장","10,000명(2.2%)
                ","
                459,000
              "
263,King Food 킹푸드,"#길거리음식, #korean","10,000명(1.9%)
                ","
                518,000
              "
264,deemd,"#스터디윗미, #living","10,000명(1.8%)
                ","
                544,000
              "
265,김나영의 nofilterTV,"#김나영, #노필터티비","10,000명(1.8%)
                ","
                557,000
              "
266,김용호연예부장,"#연예뉴스, #시사이슈","10,000명(1.6%)
                ","
                610,000
              "
267,주부나라,#다이어트요리,"10,000명(1.6%)
                ","
                623,000
              "
268,1분미만,"#1분미만, #운전","10,000명(1.3%)
                ","
                755,000
              "
269,Delight 딜라이트,"#delight, #딜라이트","10,000명(1.2%)
                ","
                809,000
              "
270,우와한 비디오,"#SBS, #omg","10,000명(1.1%)
                ","
                937,000
              "
271,BamBam,"#뱀뱀, #BamBam","10,000명(1%)
                ","
                1,010,000
              "
272,브레드이발소,"#브레드이발소, #디저트","10,000명(1%)
                ","
                1,010,000
              "
273,뻑가 PPKKa,"#이근, #가짜사나이","10,000명(1%)
                ","
                1,020,000
              "
274,정브르,"#정브르, #개미키우기","10,000명(1%)
                ","
                1,020,000
              "
275,비디오머그 - VIDEOMUG,"#비디오머그, #vmg","10,000명(1%)
                ","
                1,020,000
              "
276,Rock Music,"#dance, #kpop","10,000명(1%)
                ","
                1,030,000
              "
277,해피토이(HappyToy),"#신비아파트, #장난감놀이","10,000명(1%)
                ","
                1,040,000
              "
278,MORE THAN YOUTH,"#몰댄유스, #몰댄유스스튜디오","10,000명(1%)
                ","
                1,040,000
              "
279,밍꼬발랄Mingggo,"#밍꼬발랄, #밍꼬","10,000명(0.9%)
                ","
                1,060,000
              "
280,효기심,"#호기심, #효기심","10,000명(0.9%)
                ","
                1,070,000
              "
281,키글TV - 키즈 앱・장난감,"#키글TV, #키글","10,000명(0.9%)
                ","
                1,070,000
              "
282,잼스터,"#연애, #남친","10,000명(0.9%)
                ","
                1,080,000
              "
283,우리의식탁 W TABLE,"#koreanfood, #recipe","10,000명(0.9%)
                ","
                1,080,000
              "
284,TBS 시민의방송,"#TBS, #김어준","10,000명(0.9%)
                ","
                1,090,000
              "
285,조승연의 탐구생활,"#조승연, #조승연작가","10,000명(0.9%)
                ","
                1,090,000
              "
286,오킹TV,"#오킹, #트위치","10,000명(0.9%)
                ","
                1,100,000
              "
287,먹어볼래TryToEat,"#요리, #cooking","10,000명(0.9%)
                ","
                1,100,000
              "
288,Korean Dost,"#Korean, #India","10,000명(0.9%)
                ","
                1,110,000
              "
289,Sunny Funny Fitness,"#dance, #줌바","10,000명(0.9%)
                ","
                1,110,000
              "
290,sNack!,"#SBS, #runningman","10,000명(0.9%)
                ","
                1,130,000
              "
291,Lime Doodles,"#LimeTube, #라임튜브","10,000명(0.9%)
                ","
                1,130,000
              "
292,진우와 해티,"#국제커플, #국제연애","10,000명(0.9%)
                ","
                1,140,000
              "
293,코레아니시마 엘레나,"#coreia, #coreana","10,000명(0.9%)
                ","
                1,140,000
              "
294,SBS World,"#Kpop, #kdrama","10,000명(0.9%)
                ","
                1,140,000
              "
295,시리TV Shili,"#ASMR, #귀청소","10,000명(0.9%)
                ","
                1,150,000
              "
296,TJ KARAOKE TJ 노래방 공식 유튜브채널,"#karaoke, #tj","10,000명(0.9%)
                ","
                1,150,000
              "
297,SECRET NUMBER,"#시크릿넘버, #걸그룹","10,000명(0.9%)
                ","
                1,150,000
              "
298,마샤와 곰,"#만화, #애니메이션","10,000명(0.9%)
                ","
                1,150,000
              "
299,토비아트 - TobiART,"#art, #paint","10,000명(0.9%)
                ","
                1,160,000
              "
300,seemile 씨마일,"#hangul, #한글","10,000명(0.9%)
                ","
                1,160,000
              "
